text,created_at,source,id,author_id,,,,
@GrabMY 2 dose vaccinated people https://t.co/EwKhOBIBfc,2021-08-30T04:05:57.000Z,Twitter for iPhone,1.43E+18,7.67E+17,,,,
"@GrabMY Grab,saya nk voucher 50% boleh tak?",2021-08-30T04:05:57.000Z,Twitter for Android,1.43E+18,1.08E+18,,,,
@GrabMY roti canai,2021-08-30T04:04:45.000Z,Twitter for iPhone,1.43E+18,8.75E+17,,,,
@GrabMY Makanan yang grab bagi voucher,2021-08-30T04:02:38.000Z,Twitter for iPhone,1.43E+18,1.00E+18,,,,
@GrabMY Nasi lemak bungkus!,2021-08-30T04:02:17.000Z,Twitter for iPhone,1.43E+18,9.91E+17,,,,
"@GrabMY Cimak lur, cimak tong, cimak yam!",2021-08-30T04:01:42.000Z,Twitter for Android,1.43E+18,92396373,,,,
"You’re in for some more books if you know how to Grab  em on time! Purchase with GrabPay and enjoy a RM20 rebate if you spend up to RM150!
New GrabPay users also get to enjoy RM20 rebate with a minimum spend of RM50!
T&amp;C apply*
Shop with GrabPay: https://t.co/JP7hDCE4jB
@GrabMY https://t.co/lE7KJnh4Qz",2021-08-30T04:00:00.000Z,Twitter Web App,1.43E+18,348251110,,,,
"@shaaazretta Hi thom, you may check our operating hours in Grab app homepage. For Kota Kinabalu GrabCar service, you can book for our service from 5am to 10pm. https://t.co/bkgUQKfjrO",2021-08-30T03:59:38.000Z,Twitter Web App,1.43E+18,454609037,,,,
@GrabMY I’ve been ordering village park so many times already SO WHY IS IT OUT OF THE DELIVERY AREA NOW 🥲🥲,2021-08-30T03:59:35.000Z,Twitter for iPhone,1.43E+18,233091407,,,,
@GrabMY hi what are the operating hours in Kota Kinabalu?,2021-08-30T03:52:35.000Z,Twitter for iPhone,1.43E+18,226189185,,,,
"@GrabMY hello just wondering why i couldnt scan and transfer money to my bank duitnow qr? from grabpay and then scan my duitnow, the transaction said unsuccessful https://t.co/VXivt5Ac37",2021-08-30T03:30:48.000Z,Twitter Web App,1.43E+18,1.29E+18,,,,
Hari ni kenapa lah susah sangat nak dapatkan @GrabMY car. Tunggu sampai 1 jam baru ada. Nasib baik tak pengsan sebab berdiri terlalu lama.,2021-08-30T02:52:24.000Z,Twitter for Android,1.43E+18,1388944322,,,,
"@GrabMY hye, boleh bantu saya untuk cpatkan pengesahan dokumen saya untuk pendaftaran sbgai grab driver?...",2021-08-30T02:43:28.000Z,Twitter for Android,1.43E+18,1.39E+18,,,,
"RT @mieja_ibrahim: Disebabkan i dah sakit perut, selain report kat @GrabMY, i dah report dekat laman web SISPAA. Attach gambar &amp; sekali den…",2021-08-29T18:39:51.000Z,Twitter for Android,1.43E+18,82302557,,,,
